iso3;year;SSP1;SSP2;SSP3;SSP4;SSP5
SLE;2100;24069,30928;12720,68771;1868,598384;3945,431143;44687,58326
SLV;1970;4158,251698;4158,251698;4158,251698;4158,251698;4158,251698
SLV;1975;4711,162633;4711,162633;4711,162633;4711,162633;4711,162633
SLV;1980;4426,834288;4426,834288;4426,834288;4426,834288;4426,834288
SLV;1985;4039,151806;4039,151806;4039,151806;4039,151806;4039,151806
SLV;1990;4030,436654;4030,436654;4030,436654;4030,436654;4030,436654
SLV;1995;5070,121192;5070,121192;5070,121192;5070,121192;5070,121192
SLV;2000;5429,32448;5429,32448;5429,32448;5429,32448;5429,32448
SLV;2005;5989,780224;5989,780224;5989,780224;5989,780224;5989,780224
SLV;2010;6341,242461;6341,242461;6341,242461;6341,242461;6341,242461
SLV;2015;6830,277465;6753,407485;6652,159425;6670,718549;6854,764865
SLV;2020;7469,791533;7153,047721;6797,507941;6829,127235;7562,586945
SLV;2025;8386,163467;7707,039007;6984,127167;6997,993359;8608,475962
SLV;2030;9610,946038;8493,642701;7330,078165;7275,420841;10003,9346
SLV;2035;11094,97878;9519,330794;7850,829997;7693,045556;11737,7431
SLV;2040;13040,71539;10746,91204;8456,892532;8237,221552;14192,92642
SLV;2045;15445,72281;12146,01833;9062,680697;8872,564938;17414,65159
SLV;2050;18179,594;13906,29062;9610,28664;9556,915191;21248,67287
SLV;2055;20961,78711;15983,54943;10113,36778;10259,53782;25300,11039
SLV;2060;23615,23434;18255,21706;10575,17055;10943,89784;29292,96428
SLV;2065;26023,93697;20529,61859;11024,36772;11596,21081;32957,20694
SLV;2070;28279,89803;22792,62973;11546,36888;12313,95457;36787,33511
SLV;2075;30457,11194;25045,1785;12151,06788;13132,58213;41295,88485
SLV;2080;32676,90335;27238,2316;12795,90198;14036,22885;46794,62148
SLV;2085;35222,08654;29367,91228;13434,65503;14986,40796;53396,50588
SLV;2090;38324,66018;31430,15955;14071,06492;15979,17988;61197,29311
SLV;2095;42049,09993;33600,03788;14726,11124;17031,83378;70188,80262
SLV;2100;46351,06244;36036,11391;15424,51011;18136,99547;80399,84385
SOM;1970;918,1217435;918,1217435;918,1217435;918,1217435;918,1217435
SOM;1975;997,3183232;997,3183232;997,3183232;997,3183232;997,3183232
SOM;1980;758,4068628;758,4068628;758,4068628;758,4068628;758,4068628
SOM;1985;636,9492614;636,9492614;636,9492614;636,9492614;636,9492614
SOM;1990;690,6063639;690,6063639;690,6063639;690,6063639;690,6063639
SOM;1995;489,9924584;489,9924584;489,9924584;489,9924584;489,9924584
SOM;2000;462,3813576;462,3813576;462,3813576;462,3813576;462,3813576
SOM;2005;454,3010118;454,3010118;454,3010118;454,3010118;454,3010118
SOM;2010;460,8902752;460,8902752;460,8902752;460,8902752;460,8902752
SOM;2015;533,2153388;511,7614963;495,7412897;495,4164994;534,5608663
SOM;2020;699,6028891;629,7901463;577,3647066;578,609032;708,4818267
SOM;2025;945,6709586;789,5433403;667,6405417;675,5218067;978,5652869
SOM;2030;1250,127953;968,1102598;752,9890365;775,1763632;1334,427218
SOM;2035;1606,983091;1156,367572;819,5821644;867,7320649;1786,088059
SOM;2040;2054,766063;1376,248203;871,9833914;961,8183062;2397,962121
SOM;2045;2610,19909;1629,646451;905,4092581;1052,215551;3216,226767
SOM;2050;3316,908597;1932,256034;931,3596276;1151,507764;4328,364605
SOM;2055;4188,178419;2288,609877;954,646139;1263,75495;5779,463535
SOM;2060;5225,008598;2706,343443;979,9302589;1392,667755;7589,116146
SOM;2065;6450,283529;3186,735002;1009,96698;1538,352029;9824,412443
SOM;2070;7907,656742;3746,803683;1046,720177;1704,41697;12578,8241
SOM;2075;9629,993536;4404,932963;1089,397572;1892,49279;15924,84243
SOM;2080;11591,47533;5176,040321;1135,593787;2101,516877;19807,02871
SOM;2085;13745,77061;6073,592573;1183,746781;2331,363986;24135,55057
SOM;2090;16043,02734;7109,135599;1234,076228;2584,036656;28809,18685
SOM;2095;18436,76547;8393,082684;1285,820527;2858,718205;33726,90297
SOM;2100;20900,06824;9949,782237;1342,593307;3163,941195;39247,38704
SRB;1970;;;;;
SRB;1975;;;;;
SRB;1980;;;;;
SRB;1985;;;;;
SRB;1990;;;;;
SRB;1995;;;;;
SRB;2000;;;;;
SRB;2005;7292,925152;7292,925152;7292,925152;7292,925152;7292,925152
SRB;2010;8531,751897;8531,751897;8531,751897;8531,751897;8531,751897
SRB;2015;10737,89062;10765,9404;10760,42357;10740,01091;10748,65794
SRB;2020;14319,6358;14267,06553;14154,58536;14066,76971;14420,21407
SRB;2025;18632,47831;18288,47347;17907,77272;17659,50313;19001,67712
SRB;2030;22744,0877;21947,06388;21128,59409;20637,55675;23671,16032
SRB;2035;26154,8572;24971,34419;23653,02095;22829,68861;27895,62786
SRB;2040;28821,39776;27437,50069;25612,28629;24404,39625;31529,16389
SRB;2045;30951,82572;29533,70669;27191,18064;25594,43568;34846,38084
SRB;2050;32854,04788;31419,74451;28557,90389;26558,28108;38274,38258
SRB;2055;34891,21955;33330,43809;29892,66539;27475,38657;42182,54821
SRB;2060;37252,77673;35415,20072;31271,99512;28461,38189;46758,00623
SRB;2065;40034,91022;37793,07991;32807,99834;29627,76976;52127,5961
SRB;2070;43193,61963;40399,21254;34484,83275;30929,87259;58245,18864
SRB;2075;46694,68852;43179,26777;36294,97797;32367,72093;65079,72913
SRB;2080;50532,52324;46112,55518;38237,23378;33951,99229;72652,14415
SRB;2085;54709,77462;49198,79041;40327,43157;35695,64108;80999,48835
SRB;2090;59325,26989;52454,70902;42581,10469;37603,40328;90322,03855
SRB;2095;64297,70342;55907,68367;45003,85897;39674,08115;100548,1711
SRB;2100;69607,11611;59582,57613;47579,03335;41902,19752;111640,9985
STP;1970;1127,919428;1127,919428;1127,919428;1127,919428;1127,919428
STP;1975;1242,548759;1242,548759;1242,548759;1242,548759;1242,548759
STP;1980;1543,163794;1543,163794;1543,163794;1543,163794;1543,163794
STP;1985;1260,394442;1260,394442;1260,394442;1260,394442;1260,394442
STP;1990;1037,552652;1037,552652;1037,552652;1037,552652;1037,552652
STP;1995;1007,089735;1007,089735;1007,089735;1007,089735;1007,089735
STP;2000;1014,174236;1014,174236;1014,174236;1014,174236;1014,174236
STP;2005;1414,936595;1414,936595;1414,936595;1414,936595;1414,936595
STP;2010;1681,446981;1681,446981;1681,446981;1681,446981;1681,446981
STP;2015;2175,830399;2117,230703;2092,046572;2089,458872;2181,675966
STP;2020;2555,208039;2393,647017;2308,128524;2302,836936;2583,781716
STP;2025;2866,269117;2560,779078;2391,626266;2383,555;2944,710767
STP;2030;3183,655616;2701,78611;2429,909204;2426,783947;3343,559032
STP;2035;3573,212462;2872,850678;2462,393169;2482,926538;3866,981577
STP;2040;4090,104216;3105,191629;2507,672155;2579,127169;4599,872031
STP;2045;4748,018204;3398,828456;2561,171882;2710,670397;5582,647927
STP;2050;5577,184178;3768,045809;2623,869465;2880,629506;6881,007749
STP;2055;6631,455705;4238,478754;2709,203588;3106,077575;8586,302174
STP;2060;7928,145323;4810,640134;2815,783265;3384,712632;10743,35968
STP;2065;9447,015082;5476,901847;2933,395383;3696,873099;13304,57563
STP;2070;11191,73165;6258,649578;3058,736693;4038,471444;16279,34911
STP;2075;13169,81304;7184,192078;3191,846875;4412,375031;19684,95607
STP;2080;15407,12263;8280,67026;3333,025716;4821,01311;23695,05568
STP;2085;17880,52156;9564,584048;3480,495551;5265,565;28336,25232
STP;2090;20963,71111;11044,49328;3634,297624;5747,285847;34153,18438
STP;2095;24481,41742;12710,68658;3792,691574;6261,93928;41155,82918
STP;2100;28130,82843;14562,2317;3962,114141;6817,202325;49411,71218
SUR;1970;7131,237067;7131,237067;7131,237067;7131,237067;7131,237067
SUR;1975;7694,030135;7694,030135;7694,030135;7694,030135;7694,030135
SUR;1980;8706,106892;8706,106892;8706,106892;8706,106892;8706,106892
SUR;1985;9882,09685;9882,09685;9882,09685;9882,09685;9882,09685
SUR;1990;8759,814431;8759,814431;8759,814431;8759,814431;8759,814431
SUR;1995;6851,274689;6851,274689;6851,274689;6851,274689;6851,274689
SUR;2000;6521,175956;6521,175956;6521,175956;6521,175956;6521,175956
SUR;2005;9283,092372;9283,092372;9283,092372;9283,092372;9283,092372
SUR;2010;10643,55688;10643,55688;10643,55688;10643,55688;10643,55688
SUR;2015;13867,95268;13771,97282;13700,35073;13727,25699;13892,25834
SUR;2020;17063,72365;16632,83184;16310,90079;16323,50244;17213,85421
SUR;2025;20295,2855;19368,46596;18620,77929;18505,15574;20762,37342
SUR;2030;23161,32016;21719,88706;20444,78628;20073,07235;24165,99009
SUR;2035;26077,03918;23900,95119;22077,15337;21301,79528;27861,36338
SUR;2040;29080,19292;25977,4695;23572,16357;22359,71808;31891,75896
SUR;2045;32098,98735;28105,75306;25024,11112;23430,16846;36267,27523
SUR;2050;35061,58775;30418,60706;26226,49698;24375,63032;40954,97302
SUR;2055;38076,31057;32896,4166;27254,15513;25199,93468;46071,00627
SUR;2060;41230,58443;35500,63539;28232,49423;25967,50728;51688,88741
SUR;2065;44538,84015;38209,51467;29191,55915;26672,18968;57810,49269
SUR;2070;48024,02615;41048,14237;30147,69444;27330,17285;64471,53394
SUR;2075;51667,95865;43999,5414;31133,82614;27996,31927;71649,84883
SUR;2080;55493,47018;47058,65098;32133,49134;28714,9408;79380,47038
SUR;2085;59481,65974;50222,0919;33130,78393;29463,29965;87643,50217
SUR;2090;63709,04198;53509,41337;34146,96285;30233,00307;96561,67139
SUR;2095;68109,7747;56898,05695;35198,5616;31047,69602;106044,6239
SUR;2100;72746,19748;60358,80653;36311,5532;31922,39694;116196,2075
SVK;1970;;;;;
SVK;1975;;;;;
SVK;1980;;;;;
SVK;1985;;;;;
SVK;1990;11961,04024;11961,04024;11961,04024;11961,04024;11961,04024
SVK;1995;10576,29019;10576,29019;10576,29019;10576,29019;10576,29019
SVK;2000;13044,99742;13044,99742;13044,99742;13044,99742;13044,99742
SVK;2005;16200,21836;16200,21836;16200,21836;16200,21836;16200,21836
SVK;2010;19986,25368;19986,25368;19986,25368;19986,25368;19986,25368
SVK;2015;23143,64102;23238,34886;23320,50987;23295,85441;23129,05989
SVK;2020;24691,30194;24817,93228;24911,25463;24895,20385;24799,68885
SVK;2025;25287,18884;25296,29809;25249,30857;25316,83049;25741,60026
SVK;2030;26151,57844;25898,62871;25545,20123;25767,94485;27215,07294
SVK;2035;27467,68297;26894,97685;26106,18582;26533,92678;29386,64612
SVK;2040;29177,45675;28291,4394;27013,11572;27689,20835;32119,67429
SVK;2045;31083,23931;29943,46816;28168,25534;29140,66235;35315,25366
